,Location,location,feature_class,latitude,longitude,Closest Ocean Basin,Distance to Nearest Ocean
4563,Cape South Coast,Cope,L,-39.07665,-72.66747,13.0,49.23128961361616
4564,Puerto Madryn city,exact,S,-42.75917,-65.10278,7.0,43.43447927265596
4565,Nusa Tenggara,exact,T,-9.0,120.0,10.0,78.11700792544076
4566,Western Indian Ocean,Western,A,19.30833,-81.375,2.0,25.02200550299133
4567,Oslo,exact,P,59.91273,10.74609,3.0,47.924243229935406
4568,Dar es-Salaam,exact,P,-6.82349,39.26951,17.0,44.06691868830497
4569,Latium,exact,P,30.0805,-96.56053,3.0,47.00692569555352
4570,Nattika Beach,exact,S,38.42945,22.4455,22.0,9.168214737833745
4571,Virgin Islands,exact,P,16.77874,-62.21734,2.0,43.214843630787314
4572,Mexico City,exact,P,19.42847,-99.12766,1.0,39.838218609862736
4573,Caspian,exact,P,46.06433,-88.63289,3.0,49.508970246706994
4574,Delhi,exact,P,28.65195,77.23149,15.0,31.19228160540096
4575,Far Eastern,exact,A,29.30915,80.91534,15.0,45.48768866926102
4576,Haraz River,exact,H,-28.40085,24.27883,19.0,24.27135453796657
4577,Tczew,exact,P,54.09242,18.77787,24.0,48.776142919799206
4578,Jakarta Bay,exact,A,-6.2,106.83333,11.0,49.696726155924765
4579,Barangay Pikalawag,Barangay,P,18.09698,121.63395,9.0,46.99205106096584
